,text,contains_image,contains_table,extracted_text,class
694,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated rash or dermatitis (including pemphigoid) occurred in 50 (1.7%) patients, including Grade 3 in 12 (0.4%) patients. The median time to onset was 43 days (range: 4-333 days). Twenty-four of the 50 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). IMFINZI was discontinued in 3 patients. Resolution occurred in 31 patients. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated rash or dermatitis (including pemphigoid) occurred in 50 (1.7%) patients, including Grade 3 in 12 (0.4%) patients. The median time to onset was 43 days (range: 4-333 days). Twenty-four of the 50 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). IMFINZI was discontinued in 3 patients. Resolution occurred in 31 patients. ",2.0
695,<<START_SUBHEADING>>Immune-mediated neurological adverse events in ongoing and completed trials <<END_SUBHEADING>>,0,0,Immune-mediated neurological adverse events in ongoing and completed trials ,1.0
696,"<<START_SECTION>> Meningitis, encephalitis, and Guillain-Barre syndrome. <<END_SECTION>>",0,0," Meningitis, encephalitis, and Guillain-Barre syndrome. ",2.0
697,<<START_SUBHEADING>>Infusion-related reactions<<END_SUBHEADING>>,0,0,Infusion-related reactions,1.0
698,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, infusion related reactions occurred in 49 (1.6%) patients, including Grade 3 in 5 (0.2%) patients. There were no Grade 4 or 5 events. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, infusion related reactions occurred in 49 (1.6%) patients, including Grade 3 in 5 (0.2%) patients. There were no Grade 4 or 5 events. ",2.0
699,<<START_SUBHEADING>>Reporting of suspected adverse reactions<<END_SUBHEADING>>,0,0,Reporting of suspected adverse reactions,1.0
700,<<START_SECTION>>Reporting suspected adverse reactions after registration of the medicinal product is important. It allows continued monitoring of the benefit-risk balance of the medicinal product. Healthcare professionals are asked to report any suspected adverse reactions at http://www.tga.gov.au/reporting-problems. <<END_SECTION>>,0,0,Reporting suspected adverse reactions after registration of the medicinal product is important. It allows continued monitoring of the benefit-risk balance of the medicinal product. Healthcare professionals are asked to report any suspected adverse reactions at http://www.tga.gov.au/reporting-problems. ,2.0
701,<<START_SUBHEADING>>	4.9 	Overdose<<END_SUBHEADING>>,0,0,	4.9 	Overdose,1.0
702,"<<START_SECTION>>There is no specific treatment in the event of durvalumab overdose, and symptoms of overdose are not established. In the event of an overdose, physicians should follow general supportive measures and should treat symptomatically.<<END_SECTION>>",0,0,"There is no specific treatment in the event of durvalumab overdose, and symptoms of overdose are not established. In the event of an overdose, physicians should follow general supportive measures and should treat symptomatically.",2.0
703,"<<START_SECTION>>For information on the management of overdose, contact the Poison Information Centre on 131126 (Australia). <<END_SECTION>>",0,0,"For information on the management of overdose, contact the Poison Information Centre on 131126 (Australia). ",2.0
704,<<START_HEADING>>5 	PHARMACOLOGICAL PROPERTIES<<END_HEADING>>,0,0,5 	PHARMACOLOGICAL PROPERTIES,0.0
705,<<START_SUBHEADING>>	5.1 	Pharmacodynamic properties <<END_SUBHEADING>>,0,0,	5.1 	Pharmacodynamic properties ,1.0
706,<<START_SUBHEADING>>Mechanism of action <<END_SUBHEADING>>,0,0,Mechanism of action ,1.0
707,"<<START_SECTION>>Expression of programmed cell death ligand-1 (PD-L1) protein is an adaptive immune response that helps tumours evade detection and elimination by the immune system. PD-L1 expression can be induced by inflammatory signals (e.g. IFN-gamma) and can be expressed on both tumour cells and tumour-associated immune cells in tumour microenvironment. PD-L1 blocks T-cell function and activation through interaction with PD-1 and CD80 (B7.1). By binding to its receptors, PD-L1 reduces cytotoxic T-cell activity, proliferation, and cytokine production.<<END_SECTION>>",0,0,"Expression of programmed cell death ligand-1 (PD-L1) protein is an adaptive immune response that helps tumours evade detection and elimination by the immune system. PD-L1 expression can be induced by inflammatory signals (e.g. IFN-gamma) and can be expressed on both tumour cells and tumour-associated immune cells in tumour microenvironment. PD-L1 blocks T-cell function and activation through interaction with PD-1 and CD80 (B7.1). By binding to its receptors, PD-L1 reduces cytotoxic T-cell activity, proliferation, and cytokine production.",2.0
708,"<<START_SECTION>>Durvalumab is a fully human, high affinity, immunoglobulin G1 kappa (IgG1?) monoclonal antibody that blocks the interaction of PD-L1 with PD-1 and CD80 (B7.1). Durvalumab does not induce antibody dependent cell-mediated cytotoxicity (ADCC). Blockade of PD-L1/PD-1 and PDL1/CD80 interactions enhances antitumour immune responses. These antitumour responses may result in tumour elimination.<<END_SECTION>>",0,0,"Durvalumab is a fully human, high affinity, immunoglobulin G1 kappa (IgG1?) monoclonal antibody that blocks the interaction of PD-L1 with PD-1 and CD80 (B7.1). Durvalumab does not induce antibody dependent cell-mediated cytotoxicity (ADCC). Blockade of PD-L1/PD-1 and PDL1/CD80 interactions enhances antitumour immune responses. These antitumour responses may result in tumour elimination.",2.0
709,"<<START_SECTION>>In preclinical studies, PD-L1 blockade by durvalumab led to increased T-cell activation and decreased tumour size in xenograft mouse models of human melanoma and/or pancreatic cancer cells as well as mouse syngeneic colorectal cancer. <<END_SECTION>>",0,0,"In preclinical studies, PD-L1 blockade by durvalumab led to increased T-cell activation and decreased tumour size in xenograft mouse models of human melanoma and/or pancreatic cancer cells as well as mouse syngeneic colorectal cancer. ",2.0
710,<<START_SUBHEADING>>Clinical trials<<END_SUBHEADING>>,0,0,Clinical trials,1.0
711,"<<START_SECTION>>Durvalumab doses of 10 mg/kg every 2 weeks or 1500 mg every 4 weeks were evaluated in NSCLC and ES-SCLC clinical studies. Based on the modelling and simulation of exposure, exposure-safety relationships and exposure-efficacy data comparisons, there are no anticipated clinically significant differences in efficacy and safety between durvalumab doses of 10 mg/kg every 2 weeks or 1500 mg every 4 weeks. <<END_SECTION>>",0,0,"Durvalumab doses of 10 mg/kg every 2 weeks or 1500 mg every 4 weeks were evaluated in NSCLC and ES-SCLC clinical studies. Based on the modelling and simulation of exposure, exposure-safety relationships and exposure-efficacy data comparisons, there are no anticipated clinically significant differences in efficacy and safety between durvalumab doses of 10 mg/kg every 2 weeks or 1500 mg every 4 weeks. ",2.0
712,<<START_SUBHEADING>>Non-small cell lung cancer (NSCLC) <<END_SUBHEADING>>,0,0,Non-small cell lung cancer (NSCLC) ,1.0
713,"<<START_SECTION>>Randomised, placebo-controlled phase 3 study in patients with locally advanced, unresectable NSCLC after chemoradiation (PACIFIC study)<<END_SECTION>>",0,0,"Randomised, placebo-controlled phase 3 study in patients with locally advanced, unresectable NSCLC after chemoradiation (PACIFIC study)",2.0
714,"<<START_SECTION>>The efficacy of IMFINZI was evaluated in the PACIFIC study, a randomised, double-blind, placebo-controlled, multicentre study in 713 patients with histologically or cytologically confirmed locally advanced, unresectable NSCLC. Patients had completed at least 2 cycles of definitive platinum-based chemotherapy with radiation therapy within 1 to 42 days prior to initiation of the study and had an ECOG performance status of 0 or 1. Ninety-two percent of patients had received a total dose of 54 to 66 Gy of radiation. The study excluded patients who had progressed following chemoradiation therapy, patients with prior exposure to any anti-PD-1 or anti-PD-L1 antibody, patients with active or prior documented autoimmune disease within 2 years of initiation of the study; a history of immunodeficiency; a history of severe immune-mediated adverse reactions; medical conditions that required systemic immunosuppression(except physiological dose of systemic corticosteroids); active tuberculosis or hepatitis B or C or HIV infection or patients receiving live attenuated vaccine within 30 days before or after the start of IMFINZI. Patients were randomised 2:1 to receive 10 mg/kg IMFINZI (n=476) or 10 mg/kg placebo (n=237) via intravenous infusion every 2 weeks for up to 12 months or until unacceptable toxicity or confirmed disease progression. Randomisation was stratified by gender, age (<65 years vs. ò 65 years) and smoking status (smoker vs. non- smoker). Patients with disease control at 12 months were given the option to be re-treated upon disease progression. Tumour assessments were conducted every 8 weeks for the first 12 months and then every 12 weeks thereafter.<<END_SECTION>>",0,0,"The efficacy of IMFINZI was evaluated in the PACIFIC study, a randomised, double-blind, placebo-controlled, multicentre study in 713 patients with histologically or cytologically confirmed locally advanced, unresectable NSCLC. Patients had completed at least 2 cycles of definitive platinum-based chemotherapy with radiation therapy within 1 to 42 days prior to initiation of the study and had an ECOG performance status of 0 or 1. Ninety-two percent of patients had received a total dose of 54 to 66 Gy of radiation. The study excluded patients who had progressed following chemoradiation therapy, patients with prior exposure to any anti-PD-1 or anti-PD-L1 antibody, patients with active or prior documented autoimmune disease within 2 years of initiation of the study; a history of immunodeficiency; a history of severe immune-mediated adverse reactions; medical conditions that required systemic immunosuppression(except physiological dose of systemic corticosteroids); active tuberculosis or hepatitis B or C or HIV infection or patients receiving live attenuated vaccine within 30 days before or after the start of IMFINZI. Patients were randomised 2:1 to receive 10 mg/kg IMFINZI (n=476) or 10 mg/kg placebo (n=237) via intravenous infusion every 2 weeks for up to 12 months or until unacceptable toxicity or confirmed disease progression. Randomisation was stratified by gender, age (<65 years vs. ò 65 years) and smoking status (smoker vs. non- smoker). Patients with disease control at 12 months were given the option to be re-treated upon disease progression. Tumour assessments were conducted every 8 weeks for the first 12 months and then every 12 weeks thereafter.",2.0
715,"<<START_SECTION>>Patients were enrolled regardless of their tumour PD-L1 expression level. Where available, archival tumour tissue specimens taken prior to chemoradiation therapy were retrospectively tested for PDL1 expression on tumour cells (TC) using the VENTANA PD-L1 (SP263) IHC assay. Of the 713 patients randomised, 63% of patients provided a tissue sample of sufficient quality and quantity to determine PD-L1 expression and 37% were unknown.<<END_SECTION>>",0,0,"Patients were enrolled regardless of their tumour PD-L1 expression level. Where available, archival tumour tissue specimens taken prior to chemoradiation therapy were retrospectively tested for PDL1 expression on tumour cells (TC) using the VENTANA PD-L1 (SP263) IHC assay. Of the 713 patients randomised, 63% of patients provided a tissue sample of sufficient quality and quantity to determine PD-L1 expression and 37% were unknown.",2.0
716,"<<START_SECTION>>The demographics and baseline disease characteristics were well balanced between study arms. Baseline demographics of the overall study population were as follows: male (70%), age ò 65 years (45%), white (69%), Asian (27%), other (4%), current smoker (16%), past-smoker (75%), and never smoker (9%), WHO/ECOG PS 0 (49%), WHO/ECOG PS 1 (51%). Disease characteristics were as follows: Stage IIIA (53%), Stage IIIB (45%), histological sub-groups of squamous (46%), non-squamous (54%). Of 451 patients with PD L1 expression available, 67% were TC ò 1% [PDL1 TC 1-24% (32%), PD L1 TC ò 25% (35%)] and 33% were TC < 1%.<<END_SECTION>>",0,0,"The demographics and baseline disease characteristics were well balanced between study arms. Baseline demographics of the overall study population were as follows: male (70%), age ò 65 years (45%), white (69%), Asian (27%), other (4%), current smoker (16%), past-smoker (75%), and never smoker (9%), WHO/ECOG PS 0 (49%), WHO/ECOG PS 1 (51%). Disease characteristics were as follows: Stage IIIA (53%), Stage IIIB (45%), histological sub-groups of squamous (46%), non-squamous (54%). Of 451 patients with PD L1 expression available, 67% were TC ò 1% [PDL1 TC 1-24% (32%), PD L1 TC ò 25% (35%)] and 33% were TC < 1%.",2.0
717,<<START_SECTION>>The two primary endpoints of the study were progression-free survival (PFS) and overall survival (OS) of IMFINZI vs. placebo. Secondary efficacy endpoints included PFS at 12 months (PFS 12) and 18 months (PFS 18) from randomisation and Time from Randomisation to Second Progression (PFS2). PFS was assessed by Blinded Independent Central Review (BICR) according to RECIST<<END_SECTION>>,0,0,The two primary endpoints of the study were progression-free survival (PFS) and overall survival (OS) of IMFINZI vs. placebo. Secondary efficacy endpoints included PFS at 12 months (PFS 12) and 18 months (PFS 18) from randomisation and Time from Randomisation to Second Progression (PFS2). PFS was assessed by Blinded Independent Central Review (BICR) according to RECIST,2.0
718,<<START_SECTION>>1.1.<<END_SECTION>>,0,0,1.1.,2.0
719,<<START_SECTION>>The study demonstrated a statistically significant improvement in PFS and OS in the IMFINZItreated group compared with the placebo group (see Table 7 and Figure 1 and Figure 2).<<END_SECTION>>,1,1,The study demonstrated a statistically significant improvement in PFS and OS in the IMFINZItreated group compared with the placebo group (see Table 7 and Figure 1 and Figure 2).,2.0
720,<<START_SECTION>>	Table 7 	Efficacy Results for the PACIFIC Studya<<END_SECTION>>,0,1,	Table 7 	Efficacy Results for the PACIFIC Studya,2.0
721,<<START_SECTION>>IMFINZI  (n= 476)<<END_SECTION>>,0,0,IMFINZI  (n= 476),2.0
722,<<START_SECTION>>Placebo (n= 237)<<END_SECTION>>,0,0,Placebo (n= 237),2.0
723,<<START_SECTION>>OS<<END_SECTION>>,0,0,OS,2.0
724,<<START_SECTION>>Number of deaths (%)<<END_SECTION>>,0,0,Number of deaths (%),2.0
725,<<START_SECTION>>183 (38.4%)<<END_SECTION>>,0,0,183 (38.4%),2.0
726,<<START_SECTION>>116 (48.9%)<<END_SECTION>>,0,0,116 (48.9%),2.0
727,<<START_SECTION>>Median (months)  (95% CI)<<END_SECTION>>,0,0,Median (months)  (95% CI),2.0
728,<<START_SECTION>>NR<<END_SECTION>>,0,0,NR,2.0
729,"<<START_SECTION>>(34.7, NR)<<END_SECTION>>",0,0,"(34.7, NR)",2.0
730,<<START_SECTION>>28.7<<END_SECTION>>,0,0,28.7,2.0
731,"<<START_SECTION>>(22.9, NR)<<END_SECTION>>",0,0,"(22.9, NR)",2.0
732,<<START_SECTION>> 	HR (95% CI)<<END_SECTION>>,0,0, 	HR (95% CI),2.0
733,"<<START_SECTION>>0.68 (0.53, 0.87)<<END_SECTION>>",0,0,"0.68 (0.53, 0.87)",2.0
734,<<START_SECTION>> 	2- sided p-value<<END_SECTION>>,0,0, 	2- sided p-value,2.0
735,<<START_SECTION>>0.00251<<END_SECTION>>,0,0,0.00251,2.0
736,<<START_SECTION>> 	OS at 24 months (%)  	(95% CI)<<END_SECTION>>,0,0, 	OS at 24 months (%)  	(95% CI),2.0
737,<<START_SECTION>>66.3%<<END_SECTION>>,0,0,66.3%,2.0
738,"<<START_SECTION>>(61.7%, 70.4%)<<END_SECTION>>",0,0,"(61.7%, 70.4%)",2.0
739,<<START_SECTION>>55.6%<<END_SECTION>>,0,0,55.6%,2.0
740,"<<START_SECTION>>(48.9%, 61.8%)<<END_SECTION>>",0,0,"(48.9%, 61.8%)",2.0
741,<<START_SECTION>> 	p-value<<END_SECTION>>,0,0, 	p-value,2.0
742,<<START_SECTION>>0.005<<END_SECTION>>,0,0,0.005,2.0
743,<<START_SECTION>>PFS<<END_SECTION>>,0,0,PFS,2.0
744,<<START_SECTION>>Number of events (%)<<END_SECTION>>,0,0,Number of events (%),2.0
